country_name,region_id,gdp,population
Aruba,LCN,,103187.0
Afghanistan,SAS,21413614653.0,34656032.0
Angola,SSF,103042000000.0,25096150.0
Albania,ECS,13471082475.0,2880703.0
Andorra,ECS,3319880351.0,82431.0
United Arab Emirates,MEA,384222000000.0,9269612.0
Argentina,LCN,447518000000.0,42981515.0
Armenia,ECS,11501998666.0,2906220.0
American Samoa,EAS,534555066.1,55599.0
Antigua and Barbuda,LCN,1344373698.0,96777.0
Australia,EAS,1349300000000.0,23789338.0
Austria,ECS,420040000000.0,8633169.0
Azerbaijan,ECS,57195531762.0,9649341.0
Burundi,SSF,2297241392.0,6741569.0
Belgium,ECS,515103000000.0,11274196.0
Benin,SSF,9102277423.0,5521763.0
Burkina Faso,SSF,12380518526.0,18110624.0
Bangladesh,SAS,167771000000.0,155727053.0
Bulgaria,ECS,56792405577.0,7177991.0
Bahrain,MEA,31769062885.0,1425171.0
"Bahamas, The",LCN,10343803832.0,386838.0
Bosnia and Herzegovina,ECS,18929698720.0,3535961.0
Belarus,ECS,59187019676.0,9489616.0
Belize,LCN,1602671549.0,359288.0
Bermuda,NAC,,64798.0
Bolivia,LCN,26758341469.0,10724705.0
Brazil,LCN,2256910000000.0,205962108.0
Barbados,LCN,4637855785.0,280601.0
Brunei Darussalam,EAS,13301457675.0,423196.0
Bhutan,SAS,2234759342.0,686958.0
Botswana,SSF,16843294913.0,2014866.0
Central African Republic,SSF,1496562092.0,4515392.0
Canada,NAC,1828000000000.0,35544564.0
Switzerland,ECS,642090000000.0,8372098.0
Channel Islands,ECS,,164541.0
Chile,LCN,267904000000.0,16829442.0
China,EAS,9505160000000.0,1370000000.0
Côte d’Ivoire,SSF,36796468787.0,20401331.0
Cameroon,SSF,35051979601.0,21655715.0
"Congo, Dem. Rep.",SSF,32089998961.0,78736153.0
"Congo, Rep.",SSF,14205686708.0,2648507.0
Colombia,LCN,366457000000.0,46406646.0
Comoros,SSF,611370805.2,777424.0
Cabo Verde,SSF,1860165515.0,513979.0
Costa Rica,LCN,46551438317.0,4757575.0
Cuba,LCN,,11303687.0
Curacao,LCN,,153822.0
Cayman Islands,LCN,,59172.0
Cyprus,ECS,24311614955.0,1160985.0
Czech Republic,ECS,231340000000.0,10546059.0
Germany,ECS,3781700000000.0,81686611.0
Djibouti,MEA,,746221.0
Dominica,LCN,506021862.9,72400.0
Denmark,ECS,347520000000.0,5683483.0
Dominican Republic,LCN,73664129265.0,10528394.0
Algeria,MEA,196035000000.0,40606052.0
Ecuador,LCN,85056519293.0,16144368.0
"Egypt, Arab Rep.",MEA,260816000000.0,87813257.0
Eritrea,SSF,,4474690.0
Spain,ECS,1464510000000.0,46447697.0
Estonia,ECS,23808677023.0,1315407.0
Ethiopia,SSF,52347226230.0,99873033.0
Finland,ECS,252692000000.0,5479531.0
Fiji,EAS,3771168286.0,867086.0
France,ECS,2806040000000.0,66624068.0
Faeroe Islands,ECS,,48842.0
"Micronesia, Fed. Sts.",EAS,296282644.0,104937.0
Gabon,SSF,18912467101.0,1086137.0
United Kingdom,ECS,2757620000000.0,65128861.0
Georgia,ECS,15189614351.0,3717100.0
Ghana,SSF,48199090352.0,21542009.0
Gibraltar,ECS,,33623.0
Guinea,SSF,9667718427.0,8132552.0
"Gambia, The",SSF,1084318241.0,1311349.0
Guinea-Bissau,SSF,1062488925.0,1770526.0
Equatorial Guinea,SSF,15045964750.0,1221490.0
Greece,ECS,244481000000.0,10892413.0
Grenada,LCN,931118693.5,105481.0
Greenland,ECS,2823634004.0,56905.0
Guatemala,LCN,51421926688.0,16252429.0
Guam,EAS,5214914976.0,159973.0
Guyana,LCN,2925825406.0,746556.0
"Hong Kong SAR, China",EAS,270105000000.0,7305700.0
Honduras,LCN,19545909275.0,9112867.0
Croatia,ECS,61095271083.0,4203604.0
Haiti,LCN,7911616492.0,10847334.0
Hungary,ECS,147183000000.0,9843028.0
Indonesia,EAS,1037860000000.0,261115456.0
Isle of Man,ECS,,80759.0
India,SAS,2466180000000.0,1071477855.0
Ireland,ECS,332361000000.0,4586897.0
"Iran, Islamic Rep.",MEA,540581000000.0,80277428.0
Iraq,MEA,213938000000.0,36115649.0
Iceland,ECS,16434890343.0,330815.0
Israel,MEA,287808000000.0,8380100.0
Italy,ECS,2080640000000.0,60730582.0
Jamaica,LCN,13801803130.0,2881355.0
Jordan,MEA,30811666897.0,8413464.0
Japan,EAS,6052670000000.0,127000000.0
Kazakhstan,ECS,188309000000.0,16791425.0
Kenya,SSF,55409230682.0,41350152.0
Kyrgyz Republic,ECS,6346700788.0,5956900.0
Cambodia,EAS,17009386902.0,15270790.0
Kiribati,EAS,192869131.3,114395.0
St. Kitts and Nevis,LCN,858344680.0,54288.0
"Korea, Rep.",EAS,1305950000000.0,50746659.0
Kuwait,MEA,142857000000.0,2998083.0
Lao PDR,EAS,11102149875.0,6663967.0
Lebanon,MEA,42911390492.0,5603279.0
Liberia,SSF,1627046588.0,3512932.0
Libya,MEA,36808842591.0,6193501.0
St. Lucia,LCN,1489854701.0,177206.0
Liechtenstein,ECS,,36545.0
Sri Lanka,SAS,79907042295.0,21200000.0
Lesotho,SSF,2980616573.0,1965662.0
Lithuania,ECS,45735444769.0,2904910.0
Luxembourg,ECS,63207264513.0,569604.0
Latvia,ECS,28871503534.0,1977527.0
"Macao SAR, China",EAS,31920853732.0,612167.0
St. Martin (French part),LCN,,30959.0
